wavelength,intensity,element
6559.342,0.8384,Hydrogen
6559.344,0.8384,Hydrogen
6559.346,0.8383,Hydrogen
6559.348,0.8383,Hydrogen
6559.35,0.8382,Hydrogen
6559.352,0.8382,Hydrogen
6559.354,0.8381,Hydrogen
6559.356,0.8381,Hydrogen
6559.358,0.838,Hydrogen
6559.36,0.8379,Hydrogen
6559.362,0.8379,Hydrogen
6559.364,0.8378,Hydrogen
6559.366,0.8377,Hydrogen
6559.368,0.8376,Hydrogen
6559.37,0.8375,Hydrogen
6559.372,0.8374,Hydrogen
6559.374,0.8373,Hydrogen
6559.376,0.8372,Hydrogen
6559.378,0.837,Hydrogen
6559.38,0.8369,Hydrogen
6559.382,0.8368,Hydrogen
6559.384,0.8367,Hydrogen
6559.386,0.8366,Hydrogen
6559.388,0.8364,Hydrogen
6559.39,0.8363,Hydrogen
6559.392,0.8362,Hydrogen
6559.394,0.8361,Hydrogen
6559.396,0.836,Hydrogen
6559.398,0.8359,Hydrogen
6559.4,0.8358,Hydrogen
6559.402,0.8357,Hydrogen
6559.404,0.8356,Hydrogen
6559.406,0.8355,Hydrogen
6559.408,0.8354,Hydrogen
6559.41,0.8353,Hydrogen
6559.412,0.8352,Hydrogen
6559.414,0.835,Hydrogen
6559.416,0.8349,Hydrogen
6559.418,0.8348,Hydrogen
6559.42,0.8346,Hydrogen
6559.422,0.8345,Hydrogen
6559.424,0.8344,Hydrogen
6559.426,0.8343,Hydrogen
6559.428,0.8341,Hydrogen
6559.43,0.8339,Hydrogen
6559.432,0.8338,Hydrogen
6559.434,0.8336,Hydrogen
6559.436,0.8333,Hydrogen
6559.438,0.8331,Hydrogen
6559.44,0.8329,Hydrogen
6559.442,0.8327,Hydrogen
6559.444,0.8325,Hydrogen
6559.446,0.8322,Hydrogen
6559.448,0.8319,Hydrogen
6559.45,0.8317,Hydrogen
6559.452,0.8313,Hydrogen
6559.454,0.8309,Hydrogen
6559.456,0.8307,Hydrogen
6559.458,0.8303,Hydrogen
6559.46,0.8299,Hydrogen
6559.462,0.8294,Hydrogen
6559.464,0.829,Hydrogen
6559.466,0.8286,Hydrogen
6559.468,0.828,Hydrogen
6559.47,0.8274,Hydrogen
6559.472,0.8269,Hydrogen
6559.474,0.8261,Hydrogen
6559.476,0.8254,Hydrogen
6559.478,0.8248,Hydrogen
6559.48,0.8241,Hydrogen
6559.482,0.8233,Hydrogen
6559.484,0.822,Hydrogen
6559.486,0.8208,Hydrogen
6559.488,0.8194,Hydrogen
6559.49,0.8178,Hydrogen
6559.492,0.8161,Hydrogen
6559.494,0.8143,Hydrogen
6559.496,0.8125,Hydrogen
6559.498,0.8107,Hydrogen
6559.5,0.8089,Hydrogen
6559.502,0.807,Hydrogen
6559.504,0.8049,Hydrogen
6559.506,0.8029,Hydrogen
6559.508,0.8007,Hydrogen
6559.51,0.7983,Hydrogen
6559.512,0.7956,Hydrogen
6559.514,0.7927,Hydrogen
6559.516,0.7898,Hydrogen
6559.518,0.786,Hydrogen
6559.52,0.7816,Hydrogen
6559.522,0.777,Hydrogen
6559.524,0.7726,Hydrogen
6559.526,0.7683,Hydrogen
6559.528,0.7642,Hydrogen
6559.53,0.7598,Hydrogen
6559.532,0.7553,Hydrogen
6559.534,0.7507,Hydrogen
6559.536,0.746,Hydrogen
6559.538,0.7413,Hydrogen
6559.54,0.7368,Hydrogen
6559.542,0.7324,Hydrogen
6559.544,0.7284,Hydrogen
6559.546,0.7243,Hydrogen
6559.548,0.7203,Hydrogen
6559.55,0.7163,Hydrogen
6559.552,0.7123,Hydrogen
6559.554,0.7087,Hydrogen
6559.556,0.7051,Hydrogen
6559.558,0.7018,Hydrogen
6559.56,0.6988,Hydrogen
6559.562,0.696,Hydrogen
6559.564,0.6936,Hydrogen
6559.566,0.6918,Hydrogen
6559.568,0.6903,Hydrogen
6559.57,0.6894,Hydrogen
6559.572,0.6888,Hydrogen
6559.574,0.6885,Hydrogen
6559.576,0.6886,Hydrogen
6559.578,0.6892,Hydrogen
6559.58,0.6901,Hydrogen
6559.582,0.6918,Hydrogen
6559.584,0.6938,Hydrogen
6559.586,0.6963,Hydrogen
6559.588,0.6993,Hydrogen
6559.59,0.7024,Hydrogen
6559.592,0.7058,Hydrogen
6559.594,0.7093,Hydrogen
6559.596,0.7128,Hydrogen
6559.598,0.7165,Hydrogen
